[1723, 107.5, 105.5, 106.00, 106.00, 599]
[1725, 20.4, 20.15, 20.40, 20.30, 92]
[1726, 71.2, 70.5, 70.70, 71.20, 54]
[1727, 25.9, 24.65, 25.70, 24.65, 1048]
[1730, 55.3, 54.7, 55.00, 54.80, 70]
[1731, 19.9, 19.4, 19.90, 19.50, 795]
[1732, 31.6, 30.0, 31.45, 30.05, 1645]
[1733, 25.4, 24.7, 25.40, 24.80, 991]
[1734, 32.1, 31.0, 32.05, 31.00, 5028]
[1735, 15.2, 15.2, 15.20, 15.20, 11]
[1736, 78.4, 69.0, 76.30, 69.00, 15646]
[1737, 32.6, 32.25, 32.40, 32.25, 430]
[1742, 14.7, 14.3, 14.70, 14.40, 160]
[1752, 61.0, 55.2, 59.60, 56.40, 42548]
[1760, 175.0, 160.0, 172.00, 161.00, 25341]
[1762, 63.6, 60.1, 63.00, 60.30, 4619]
[1773, 120.0, 116.0, 117.00, 119.00, 712]
[1776, 16.75, 16.4, 16.50, 16.75, 50]
[1777, 83.3, 80.7, 82.40, 81.40, 295]
[1781, 15.35, 14.95, 15.10, 15.00, 270]
[1783, 48.4, 46.7, 47.40, 47.65, 5070]
[1784, 44.5, 42.25, 42.25, 42.60, 831]
[1785, 33.9, 33.2, 33.50, 33.65, 3518]
[1786, 55.1, 50.8, 54.90, 51.10, 1313]
[1788, 143.5, 141.0, 143.50, 142.50, 77]
[1789, 25.95, 24.8, 25.20, 25.25, 5158]
[1795, 255.0, 229.0, 243.00, 230.50, 50041]
[1796, 66.5, 62.3, 66.40, 63.50, 150]
[1799, 16.4, 15.9, 16.40, 16.00, 36]
[1802, 22.65, 22.1, 22.50, 22.65, 13498]
[1805, 10.1, 9.9, 10.10, 9.94, 130]
[1806, 9.09, 8.89, 8.89, 9.03, 812]
[1808, 70.2, 68.4, 69.90, 68.60, 634]
[1809, 13.65, 12.25, 12.50, 13.45, 12000]
[1810, 18.4, 17.25, 18.25, 17.25, 19076]
[1813, 23.0, 22.55, 22.80, 22.75, 312]
[1815, 12.95, 12.25, 12.60, 12.40, 8717]
[1817, 39.15, 38.3, 39.05, 38.70, 467]
[1903, 50.4, 49.3, 50.10, 49.45, 247]
[1904, 28.6, 27.6, 27.70, 28.35, 5052]
[1905, 16.9, 16.5, 16.65, 16.50, 2166]
[1906, 17.25, 17.0, 17.20, 17.10, 386]
[1907, 25.5, 24.85, 25.15, 25.50, 5824]
[1909, 17.75, 16.9, 17.50, 17.65, 31588]
[2002, 31.3, 30.15, 30.30, 31.05, 102930]
[2006, 54.4, 52.3, 52.60, 54.40, 4413]
[2007, 12.4, 11.95, 12.20, 12.00, 6595]
[2008, 18.45, 18.0, 18.45, 18.20, 106]
[2009, 34.3, 30.2, 30.40, 31.80, 53372]
[2010, 16.2, 15.9, 15.90, 16.00, 1527]
[2012, 24.0, 23.7, 23.75, 23.80, 213]
[2013, 60.5, 59.2, 59.80, 59.60, 473]
[2014, 28.7, 26.75, 27.15, 27.60, 91094]
[2015, 66.5, 63.7, 64.50, 66.50, 793]
[2017, 14.9, 13.95, 14.10, 14.15, 5318]
[2020, 23.4, 23.05, 23.10, 23.20, 622]
[2022, 8.54, 8.33, 8.33, 8.38, 2080]
[2023, 16.4, 15.9, 16.05, 16.00, 12924]
[2024, 18.2, 18.0, 18.15, 18.10, 114]
[2025, 5.29, 4.93, 4.93, 5.09, 708]
[2027, 43.8, 42.15, 42.50, 43.40, 35543]
[2028, 29.8, 27.1, 27.70, 28.80, 9541]
[2029, 25.2, 24.05, 24.35, 24.75, 1710]
[2030, 23.5, 22.85, 23.05, 22.95, 4448]
[2031, 45.05, 42.6, 43.20, 44.85, 9631]
[2032, 21.2, 19.85, 20.35, 20.45, 2741]
[2033, 16.2, 15.1, 15.40, 15.45, 2487]
[2034, 29.35, 28.7, 29.30, 28.95, 3465]
[2035, 32.2, 31.75, 31.85, 31.85, 87]
[2038, 23.4, 21.55, 21.85, 22.25, 7180]
[2049, 194.0, 186.0, 188.00, 188.50, 6845]
[2059, 402.5, 388.5, 389.50, 398.00, 1181]
[2061, 25.7, 24.6, 24.60, 24.90, 235]
[2062, 24.25, 22.8, 22.90, 23.90, 1669]
[2063, 45.7, 44.6, 44.80, 45.00, 702]
[2064, 18.25, 17.75, 17.85, 18.20, 119]
[2065, 53.9, 52.6, 52.80, 53.60, 360]
[2066, 75.0, 72.8, 75.00, 73.10, 295]
[2067, 10.7, 10.3, 10.45, 10.40, 107]
[2069, 21.3, 20.6, 21.30, 20.65, 1405]
[2070, 38.1, 36.0, 38.10, 37.90, 209]
[2101, 33.75, 33.2, 33.20, 33.45, 1724]
[2102, 21.25, 20.35, 20.35, 20.35, 1506]
[2103, 27.95, 27.15, 27.60, 27.25, 3970]
[2104, 20.05, 19.7, 19.85, 19.80, 4073]
[2105, 35.05, 34.45, 35.00, 34.75, 12443]
[2106, 31.0, 30.55, 30.85, 30.65, 1058]
[2107, 22.15, 21.9, 22.05, 22.05, 550]
[2108, 39.5, 38.75, 39.30, 38.95, 2126]
[2109, 14.85, 14.65, 14.80, 14.65, 398]
[2114, 98.3, 95.0, 95.30, 95.40, 57]
[2115, 30.7, 30.0, 30.10, 30.20, 104]
[2201, 69.2, 65.3, 67.30, 66.20, 108812]
[2204, 55.9, 53.2, 54.60, 53.40, 5247]
[2206, 34.6, 33.75, 34.60, 34.20, 5574]
[2207, 638.0, 617.0, 623.00, 620.00, 1101]
[2208, 19.0, 18.5, 18.90, 18.60, 5847]
[2211, 53.2, 51.9, 52.60, 52.00, 607]
[2221, 38.65, 37.3, 38.35, 37.50, 423]
[2227, 194.5, 192.0, 192.50, 193.50, 110]
[2228, 79.7, 75.5, 76.70, 75.50, 804]
[2230, 44.95, 37.0, 37.50, 40.20, 17420]
[2231, 144.0, 138.5, 143.00, 138.50, 1313]
[2233, 100.5, 98.9, 100.50, 99.00, 447]
[2235, 46.5, 45.5, 45.90, 46.00, 60]
[2236, 28.95, 25.9, 26.15, 28.10, 3765]
[2239, 61.6, 58.2, 60.50, 60.20, 159]
[2241, 32.0, 30.95, 31.10, 31.25, 125]
[2243, 16.5, 15.5, 16.30, 15.50, 676]
[2247, 217.0, 211.0, 212.00, 215.00, 284]
[2250, 72.9, 70.8, 72.50, 71.30, 48]
[2301, 66.1, 64.7, 65.50, 65.00, 27206]
[2302, 17.3, 15.8, 17.30, 15.85, 2141]
[2303, 45.5, 43.35, 43.60, 45.15, 337923]
[2305, 26.75, 25.35, 26.30, 25.35, 1688]
[2308, 286.5, 275.0, 275.00, 277.00, 23640]
[2312, 13.8, 13.35, 13.70, 13.35, 15106]
[2313, 45.1, 43.7, 44.75, 44.10, 60912]
[2314, 40.5, 38.65, 39.80, 38.65, 1707]
[2316, 27.6, 27.2, 27.20, 27.30, 248]
[2317, 99.8, 98.6, 99.20, 98.60, 96936]
[2321, 6.29, 5.65, 6.25, 5.92, 51]
[2323, 7.64, 7.46, 7.54, 7.46, 11564]
[2324, 23.3, 22.6, 23.15, 22.70, 37887]
[2327, 537.0, 507.0, 515.00, 520.00, 19694]
[2328, 38.7, 36.5, 38.65, 36.50, 10098]
[2329, 18.4, 18.0, 18.20, 18.00, 4801]
[2330, 488.0, 467.5, 468.00, 486.50, 127258]
[2331, 21.3, 20.8, 20.90, 20.80, 2891]
[2332, 15.65, 15.25, 15.60, 15.30, 6027]
[2337, 35.4, 34.75, 34.95, 34.95, 20148]
[2338, 91.8, 85.2, 90.70, 88.20, 53810]
[2340, 35.45, 34.8, 35.00, 35.00, 3394]
[2342, 40.5, 38.1, 38.50, 38.75, 4382]
[2344, 21.1, 20.2, 20.40, 20.85, 59619]
[2345, 258.5, 243.0, 253.00, 253.00, 14658]
[2347, 60.6, 59.0, 59.60, 59.10, 12285]
[2348, 65.6, 64.0, 65.60, 64.90, 189]
[2349, 7.98, 7.79, 7.84, 7.79, 3350]
[2351, 106.5, 97.5, 99.00, 98.10, 6968]
[2352, 28.25, 27.75, 27.95, 27.75, 8615]
[2353, 24.5, 23.9, 24.25, 24.00, 23549]
[2354, 54.0, 52.4, 52.90, 52.70, 13282]
[2355, 29.55, 29.0, 29.50, 29.10, 1624]
[2356, 26.8, 25.5, 26.25, 25.60, 28583]
[2357, 275.5, 263.5, 273.50, 265.00, 6767]
[2358, 17.0, 14.05, 14.20, 16.65, 58503]
[2359, 28.65, 26.0, 28.60, 26.05, 20751]
[2360, 197.0, 181.0, 195.50, 188.50, 5257]
[2362, 31.1, 30.65, 30.80, 30.70, 495]
[2363, 17.1, 16.65, 16.90, 16.65, 7116]
[2364, 100.5, 92.0, 98.90, 92.00, 1724]
[2365, 10.3, 10.0, 10.30, 10.10, 631]
[2367, 18.45, 17.7, 18.20, 17.70, 19693]
[2368, 93.7, 88.1, 88.20, 88.60, 32233]
[2369, 13.55, 13.25, 13.50, 13.35, 2180]
[2371, 34.0, 33.6, 33.95, 33.65, 11293]
[2373, 79.2, 77.5, 77.80, 77.90, 214]
[2374, 20.95, 20.3, 20.55, 20.30, 1567]
[2375, 59.8, 57.1, 58.10, 58.60, 2145]
[2376, 115.0, 112.0, 113.50, 114.00, 21526]
[2377, 127.0, 124.5, 125.00, 125.50, 6882]
[2379, 327.0, 310.0, 315.50, 323.00, 15070]
[2380, 10.7, 10.35, 10.60, 10.40, 3591]
[2382, 74.4, 72.3, 72.60, 73.50, 23855]
[2383, 188.0, 179.5, 179.50, 184.00, 6038]
[2385, 87.9, 85.8, 87.20, 86.10, 4871]
[2387, 38.95, 37.95, 38.60, 38.10, 1430]
[2388, 71.6, 68.0, 71.40, 68.10, 27548]
[2390, 12.7, 12.05, 12.25, 12.15, 4026]
[2392, 37.7, 37.1, 37.30, 37.35, 2445]
[2393, 37.8, 37.05, 37.60, 37.10, 1976]
[2395, 349.0, 326.0, 345.00, 329.00, 3122]
[2397, 62.0, 60.3, 62.00, 60.70, 274]
[2399, 14.3, 13.65, 13.95, 13.65, 3614]
[2401, 23.85, 23.0, 23.30, 23.00, 6280]
[2402, 18.05, 17.55, 17.80, 17.60, 6706]
[2404, 201.0, 185.0, 185.00, 199.00, 7713]
[2405, 12.35, 11.7, 11.90, 11.95, 4304]
[2406, 19.3, 18.6, 19.20, 18.60, 2966]
[2408, 57.5, 55.4, 55.60, 56.20, 36896]
[2409, 16.25, 15.8, 16.05, 15.95, 108559]
[2412, 115.0, 113.0, 114.50, 113.50, 33289]
[2413, 28.45, 26.0, 26.30, 26.40, 13324]
[2414, 31.15, 30.35, 30.60, 31.10, 257]
[2415, 22.5, 20.4, 20.70, 21.85, 576]
[2417, 23.1, 22.15, 22.70, 22.30, 957]
[2419, 26.85, 25.5, 26.15, 25.50, 19198]
[2420, 40.15, 39.5, 39.50, 39.60, 349]
[2421, 44.1, 41.35, 43.40, 41.35, 6395]
[2423, 28.45, 27.7, 27.90, 27.70, 685]
[2424, 20.8, 19.65, 19.65, 20.05, 106]
[2425, 31.25, 28.9, 30.50, 29.40, 5121]
[2426, 17.75, 17.05, 17.20, 17.10, 2031]
[2427, 12.2, 11.9, 12.10, 12.00, 686]
[2428, 144.5, 127.5, 128.50, 142.50, 13079]
[2429, 10.25, 9.85, 10.05, 9.90, 93]
[2430, 44.8, 43.75, 44.70, 44.35, 387]
[2431, 10.2, 9.9, 10.00, 9.94, 1814]
[2433, 48.65, 48.1, 48.10, 48.65, 50]
[2434, 29.55, 27.5, 28.70, 27.60, 176]
[2436, 46.9, 43.6, 44.10, 45.80, 11087]
[2438, 14.45, 13.95, 14.45, 14.05, 151]
[2439, 80.9, 79.1, 79.20, 79.70, 1551]
[2440, 12.15, 11.6, 12.00, 11.80, 370]
[2441, 49.5, 48.6, 48.70, 49.10, 4221]
[2442, 13.5, 12.9, 13.50, 12.95, 1776]
[2443, 2.94, 2.76, 2.94, 2.80, 239]
[2444, 17.95, 16.5, 16.90, 17.80, 12019]
[2449, 37.65, 36.9, 37.05, 37.10, 11486]
[2450, 31.9, 31.1, 31.15, 31.85, 394]
[2451, 67.5, 66.8, 67.30, 67.30, 931]
[2453, 26.25, 25.5, 25.70, 25.80, 265]
[2454, 720.0, 665.0, 671.00, 715.00, 29327]
[2455, 82.0, 75.1, 76.00, 78.70, 33556]
[2457, 40.7, 38.7, 40.60, 38.70, 9331]
[2458, 96.5, 92.7, 95.10, 92.80, 10040]
[2459, 52.9, 51.6, 51.60, 52.20, 240]
[2460, 17.65, 16.75, 17.25, 16.90, 868]
[2461, 18.75, 18.45, 18.70, 18.50, 514]
[2462, 28.0, 27.4, 27.95, 27.50, 631]
[2464, 38.75, 38.05, 38.30, 38.60, 615]
[2465, 42.7, 39.85, 41.35, 40.05, 11794]
[2466, 34.1, 33.2, 33.25, 33.60, 289]
[2467, 44.35, 43.4, 43.65, 43.90, 274]
[2468, 30.1, 25.05, 25.25, 28.80, 30925]
[2471, 28.8, 27.6, 28.55, 28.05, 861]
[2472, 58.4, 56.0, 58.40, 56.10, 1474]
[2474, 177.5, 173.0, 173.50, 173.50, 6784]
[2476, 47.2, 45.95, 46.30, 46.60, 1352]
[2477, 20.7, 19.95, 19.95, 20.50, 347]
[2478, 44.55, 43.4, 44.25, 43.40, 239]
[2480, 86.0, 83.5, 84.30, 83.70, 901]
[2481, 64.2, 61.0, 61.60, 62.00, 12052]
[2482, 28.5, 26.05, 27.65, 26.05, 20596]
[2483, 24.6, 24.15, 24.35, 24.40, 588]
[2484, 34.65, 33.7, 34.45, 33.75, 2285]
[2485, 17.5, 17.15, 17.35, 17.25, 1972]
[2486, 23.7, 21.8, 22.80, 21.85, 10541]
[2488, 29.2, 28.65, 29.00, 28.75, 609]
[2489, 10.05, 9.91, 10.05, 9.91, 2708]
[2491, 11.75, 11.2, 11.60, 11.35, 757]
[2492, 86.9, 83.5, 83.70, 85.80, 7256]
[2493, 46.4, 43.85, 43.85, 46.15, 1516]
[2495, 19.5, 16.65, 18.95, 16.90, 19993]
[2496, 47.65, 47.2, 47.45, 47.40, 36]
[2497, 74.2, 70.9, 73.70, 71.00, 4737]
[2498, 60.5, 58.6, 59.70, 59.50, 75545]
[2501, 16.45, 16.0, 16.15, 16.30, 3253]
[2504, 25.7, 25.2, 25.65, 25.30, 3764]
[2505, 18.1, 17.85, 17.90, 18.05, 675]
[2506, 9.29, 9.09, 9.25, 9.09, 1075]
[2509, 14.75, 14.5, 14.60, 14.55, 134]
[2511, 11.45, 10.8, 10.85, 11.35, 8232]
[2514, 16.95, 16.75, 16.95, 16.85, 340]
[2515, 8.36, 8.18, 8.22, 8.30, 9646]
